head,rel,tail
东航集团,完成,旅客运输量0.79亿人次,
旅客运输量0.79亿人次,与往年比,比上年增加8.2%,
东航集团,完成,货邮运输量140.9万吨,
货邮运输量140.9万吨,与往年比,比上年降低0.5%,
南航集团,完成,飞行小时182.9万小时,
南航集团,完成,运输总周转量174.8亿吨公里,
运输总周转量174.8亿吨公里,与往年比,比上年增加7.8%,
南航集团,完成,旅客运输量0.92亿人次,
旅客运输量0.92亿人次,与往年比,比上年增加6.2%,
南航集团,完成,货邮运输量127.6万吨,
货邮运输量127.6万吨,与往年比,比上年增加3.7%,
海航集团,完成,飞行小时95.1万小时,
海航集团,完成,运输总周转量84.1亿吨公里,
运输总周转量84.1亿吨公里,与往年比,比上年增加19.3%,
海航集团,完成,旅客运输量0.51亿人次,
旅客运输量0.51亿人次,与往年比,比上年增加22.1%,
海航集团,完成,货邮运输量65.2万吨,
货邮运输量65.2万吨,与往年比,比上年增加12.4%,
其他航空公司,完成,飞行小时82.5万小时,
其他航空公司,完成,运输总周转量68.6亿吨公里,
其他航空公司,完成,旅客运输量0.43亿人次,
运输总周转量68.6亿吨公里,与往年比,比上年增加20.5%,
旅客运输量0.43亿人次,与往年比,比上年增加20.8%,
其他航空公司,完成,货邮运输量71.5万吨,
货邮运输量71.5万吨,与往年比,比上年增加7.1%,
工业航空作业,完成,9.64万小时,
9.64万小时,与往年比,比上年增长25%,
农林业航空作业,完成,3.41万小时,
3.41万小时,与往年比,比上年增长7.0%,
其他通用航空作业,完成,45.89万小时,
45.89万小时,与往年比,比上年增长12.5%,
飞行小时82.5万小时,其中,工业航空作业,
飞行小时82.5万小时,其中,农林业航空作业,
飞行小时82.5万小时,其中,其他通用航空作业,
截至2013年底,通用航空企业189家,统计年份,
用航空经营许可证,通用航空企业189家,获得,
通用航空企业189家,包含,华北地区48家,
通用航空企业189家,包含,中南地区39家,
通用航空企业189家,包含,华东地区36家,
通用航空企业189家,包含,东北地区20家,
通用航空企业189家,包含,西南地区24,
通用航空企业189家,包含,西北地区16家,
通用航空企业189家,包含,新疆地区6家,
2013年,全行业,统计年份,
全行业,有,在册运输飞机,
在册运输飞机,运输效率,平均日利用率为9.53小时,
平均日利用率为9.53小时,与往年比,比上年提高0.38小时,
在册运输飞机,其中,大中型飞机,
在册运输飞机,其中,小型飞机,
大中型飞机,运输效率,平均日利用率为9.76小时,
平均日利用率为9.76小时,与往年比,比上年提高0.18小时,
小型飞机,运输效率,平均日利用率为6.60小时,
平均日利用率为6.60小时,与往年比,比上年提高1.69小时,
2013年,正班客座率平均为81.1%,统计年份,
正班客座率平均为81.1%,与往年比,比上年提高1.5个百分点,
2013年,正班载运率平均为72.2%,统计年份,
正班载运率平均为72.2%,与往年比,比上年提高1.6个百分点,
航空公司,实现,营业收入4049.9亿元,
营业收入4049.9亿元,与往年比,比上年增长5.2%,
航空公司,实现,利润总额162.4亿元,
利润总额162.4亿元,与往年比,比上年减少37.2亿元,
机场,实现,营业收入625.9亿元,
营业收入625.9亿元,与往年比,比上年增长11.9%,
机场,实现,利润总额41.7亿元,
利润总额41.7亿元,与往年比,比上年减少2.8亿元,
保障企业,实现,营业收入1213.7亿元,
营业收入1213.7亿元,与往年比,比上年增长8.2%,
保障企业,实现,利润总额44亿元,
利润总额44亿元,与往年比,比上年增加0.3亿元,
2013年,民航安全形势平稳,统计年份,
2013年,全行业未发生运输航空事故、空防安全事故，发生通用航空事故10起,统计年份,
2013年,事故征候302起,统计年份,
事故征候302起,其中,严重事故征候6起,
事故征候302起,其中,严重事故征候万时率为0.009,
事故征候302起,其中,人为责任原因事故征候26起,
事故征候302起,其中,通用航空事故征候16起,
事故征候302起,其中,32家运输航空公司未发生人为责任事故征候,
严重事故征候6起,与往年比,比上年降低45.5%,
严重事故征候万时率为0.009,与往年比,比上年降低51.2%,
人为责任原因事故征候26起,与往年比,同比降低24%,
通用航空事故征候16起,与往年比,同比增加23.1%,
截至2013年12月31日,运输航空,统计年份,
运输航空,完成,安全飞行2048万小时,
2013年,航空公司,统计年份,
航空公司,完成,航班278.0万班次,
航班278.0万班次,其中,正常航班201.1万班次,
航班278.0万班次,其中,不正常航班76.9万班次,
航班278.0万班次,其中,平均航班正常率为72.34%,
2013年,主要航空公司,统计年份,
主要航空公司,完成,航班237.1万班次,
航班237.1万班次,其中,正常航班173.3万班次,
航班237.1万班次,其中,不正常航班63.8万班次,
航班237.1万班次,其中,平均航班正常率为73.10%,
2013年,受理投诉总量,统计年份,
受理投诉总量,与往年比,较2012年增加246件,
受理投诉总量,与往年比,增加13.66%,
2013年,民航,统计年份,
民航,完成,固定资产投资总额1452.2亿元,
固定资产投资总额1452.2亿元,其中,基本建设和技术改造投资716.6亿元,
基本建设和技术改造投资716.6亿元,与往年比,比上年增长0.6%,
固定资产投资总额1452.2亿元,包含,重点建设项目15个,
重点建设项目15个,其中,竣工,
重点建设项目15个,其中,续建项目,
重点建设项目15个,其中,开工,
合肥新机场,竣工,有,
深圳宝安机场扩建工程,竣工,有,
贵阳龙洞堡机场扩建工程,竣工,有,
西宁曹家堡机场扩建工程,竣工,有,
南京禄口机场扩建工程,续建项目,有,
天津滨海机场扩建工程,续建项目,有,
广州白云机场扩建工程,续建项目,有,
南宁吴圩机场扩建工程,续建项目,有,
沈阳桃仙机场扩建工程,续建项目,有,
武汉天河机场扩建工程,开工,有,
哈尔滨太平机场扩建工程,开工,有,
重庆江北机场扩建工程,开工,有,
长沙黄花机场扩建工程,开工,有,
郑州新郑机场扩建工程,开工,有,
银川河东机场扩建工程,开工,有,
2013年,空管系统,统计年份,
空管系统,完成,固定资产投资29.5亿元,
固定资产投资29.5亿元,与往年比,比上年增长10.5%,
固定资产投资29.5亿元,包含,重点建设项目4个,
重点建设项目4个,其中,项目竣工,
重点建设项目4个,其中,进展顺利,
成都区域管制中心工程,项目竣工,有,
西安区域管制中心工程,项目竣工,有,
沈阳区域管制中心,进展顺利,有,
乌鲁木齐区域管制中心,进展顺利,有,
2013年,民航其他系统,统计年份,
民航其他系统,完成,固定资产投资总额179.6亿元,
固定资产投资总额179.6亿元,与往年比,比上年降低3.9%,
民航其他系统,其中,民航信息系统,
民航其他系统,其中,民航科研、教育系统,
民航其他系统,其中,民航安全保卫系统,
民航其他系统,其中,民航油料系统,
民航其他系统,其中,民航机务维修系统,
民航其他系统,其中,运输服务系统,
民航其他系统,其中,公共设施系统,
民航其他系统,其中,其他系统,
民航信息系统,投资,17.2亿元,
民航科研、教育系统,投资,12.2亿元,
民航安全保卫系统,投资,2.3亿元,
民航油料系统,投资,12.4亿元,
民航机务维修系统,投资,3.1亿元,
运输服务系统,投资,50.2亿元,
公共设施系统,投资,25.5亿元,
其他系统,投资,56.7亿元,
2013年,航空公司,统计年份,
航空公司,使用,临时航线约有41.3万架次,
航空公司,缩短,飞行距离超过1400万公里,
航空公司,节约,航油消耗7.6万吨,
航空公司,减少,二氧化碳排放约24万吨,
全行业,节约,航空煤油27万吨,
全行业,减少,二氧化碳排放85万吨,
截至2013年底,全行业,统计年份,
全行业,获得,驾驶执照飞行员35505人,
驾驶执照飞行员35505人,与往年比,较上年年13底增加4124人,
2013年,民航直属院校,统计年份,
2013年,民航直属院校,统计年份,
2013年,民航,统计年份,
民航直属院校,在校学生,在校生数达到57798人,
在校生数达到57798人,其中,研究生2011人,
在校生数达到57798人,其中,普通本专科生47268人,
在校生数达到57798人,其中,成人在校生7407人,
在校生数达到57798人,其中,中专生1112人,
民航直属院校,毕业生,毕业学生14476人,
民航,评审验收,科技成果78项,
毕业学生14476人,其中,硕士研究生502人,
毕业学生14476人,其中,普通本专科11157人,
毕业学生14476人,其中,中专学生700人,
毕业学生14476人,其中,成人学生2117人,
科技成果78项,其中,推荐国家科技进步奖1项,
科技成果78项,其中,2012年度民航科技进步奖29项,
2013年,民航工会,统计年份,
民航工会,推荐,民航系统,
民航系统,其中,10个单位,
民航系统,其中,23个班组,
民航系统,其中,6名先进个人,
10个单位,被授予,“全国五一劳动奖状”,
23个班组,被授予,“全国工人先锋号”,
6名先进个人,被授予,“全国五一劳动奖章”,
2013年,“安康杯”,统计年份,
“安康杯”,228个单位,参加,
“安康杯”,19263个班组,参加,
“安康杯”,374147名职工,参加,
“安康杯”,其中,132个先进集体和个人,
132个先进集体和个人,受到,表彰,
2013年,民航局,统计年份,
民航局,公布,规章6部,
规章6部,包含,《中国民用航空危险品运输管理规定》（民航局第216号令）,
规章6部,包含,《中国民用航空气象工作规则》（民航局第217号令）,
规章6部,包含,《民用航空运输机场航空安全保卫规则》（民航局第218号令）,
规章6部,包含,《公共航空运输企业航空安全保卫规则》（民航局第219号令）,
规章6部,包含,《民用航空导航设备开放与运行管理规定》（民航局第220号令）,
规章6部,包含,《民用航空通信导航监视设备飞行校验管理规则》（民航局第221号令）,
旅客运输量2655万人次,与往年比,比上年增加319万人次,
国内航线,完成,旅客运输量32742万人次,
港澳台航线,实现,14.23亿吨公里,
货邮运输量406.7万吨,与往年比,比上年增长4.7%,
2013年,国内航线,统计年份,
国内航线,其中,港澳台航线,
运输总周转量671.72亿吨公里,其中,旅客周转量501.43亿吨公里,
904万人次,与往年比,增长8.4%,
旅客周转量501.43亿吨公里,与往年比,增长12.3%,
运输总周转量671.72亿吨公里,与往年比,比上年增加61.40亿吨公里,
货邮周转量170.29亿吨公里,与往年比,，比上年增加6.40亿吨公里,
14.23亿吨公里,与往年比,比上年增加0.56亿吨公里,
增长8.3%,旅客运输量2655万人次,与往年比,
运输总周转量671.72亿吨公里,其中,货邮周转量170.29亿吨公里,
904万人次,与往年比,比上年增加70万人次,
国际航线,完成,旅客运输量2655万人次,
运输周转量461.05亿吨公里,与往年比,比上年增加45.21亿吨公里,
国内航线,其中,港澳台航线,
国内航线,完成,货邮运输量406.7万吨,
2013年,国际航线,统计年份,
旅客运输量32742万人次,与往年比,比上年增加3142万人次,
2013年,全行业,统计年份,
运输周转量461.05亿吨公里,与往年比,增长10.9%,
运输总周转量671.72亿吨公里,与往年比,增长10.1%,
货邮周转量170.29亿吨公里,与往年比,增长3.9%,
全行业,完成,运输总周转量671.72亿吨公里,
港澳台航线,实现,904万人次,
国内航线,完成,运输周转量461.05亿吨公里,
旅客周转量501.43亿吨公里,与往年比,比上年增加55.00亿吨公里,
国际航线,完成,运输周转量210.68亿吨公里,
旅客运输量2655万人次,与往年比,增长13.7%,
旅客运输量32742万人次,与往年比,增长10.6%,
运输周转量210.68亿吨公里,与往年比,增长8.3%,
运输周转量210.68亿吨公里,与往年比,比上年增长16.19亿吨公里,
14.23亿吨公里,与往年比,增长4.1%,
旅客运输量2655万人次,与往年比,比上年增加319万人次,
国内航线,完成,旅客运输量32742万人次,
港澳台航线,实现,14.23亿吨公里,
货邮运输量406.7万吨,与往年比,比上年增长4.7%,
2013年,国内航线,统计年份,
国内航线,其中,港澳台航线,
运输总周转量671.72亿吨公里,其中,旅客周转量501.43亿吨公里,
904万人次,与往年比,增长8.4%,
旅客周转量501.43亿吨公里,与往年比,增长12.3%,
运输总周转量671.72亿吨公里,与往年比,比上年增加61.40亿吨公里,
货邮周转量170.29亿吨公里,与往年比,，比上年增加6.40亿吨公里,
14.23亿吨公里,与往年比,比上年增加0.56亿吨公里,
增长8.3%,旅客运输量2655万人次,与往年比,
运输总周转量671.72亿吨公里,其中,货邮周转量170.29亿吨公里,
904万人次,与往年比,比上年增加70万人次,
国际航线,完成,旅客运输量2655万人次,
运输周转量461.05亿吨公里,与往年比,比上年增加45.21亿吨公里,
国内航线,其中,港澳台航线,
国内航线,完成,货邮运输量406.7万吨,
2013年,国际航线,统计年份,
旅客运输量32742万人次,与往年比,比上年增加3142万人次,
2013年,全行业,统计年份,
运输周转量461.05亿吨公里,与往年比,增长10.9%,
运输总周转量671.72亿吨公里,与往年比,增长10.1%,
货邮周转量170.29亿吨公里,与往年比,增长3.9%,
全行业,完成,运输总周转量671.72亿吨公里,
港澳台航线,实现,904万人次,
国内航线,完成,运输周转量461.05亿吨公里,
旅客周转量501.43亿吨公里,与往年比,比上年增加55.00亿吨公里,
国际航线,完成,运输周转量210.68亿吨公里,
旅客运输量2655万人次,与往年比,增长13.7%,
旅客运输量32742万人次,与往年比,增长10.6%,
运输周转量210.68亿吨公里,与往年比,增长8.3%,
运输周转量210.68亿吨公里,与往年比,比上年增长16.19亿吨公里,
14.23亿吨公里,与往年比,增长4.1%,
旅客运输量2655万人次,与往年比,比上年增加319万人次,
国内航线,完成,旅客运输量32742万人次,
港澳台航线,实现,14.23亿吨公里,
货邮运输量406.7万吨,与往年比,比上年增长4.7%,
2013年,国内航线,统计年份,
国内航线,其中,港澳台航线,
运输总周转量671.72亿吨公里,其中,旅客周转量501.43亿吨公里,
904万人次,与往年比,增长8.4%,
旅客周转量501.43亿吨公里,与往年比,增长12.3%,
运输总周转量671.72亿吨公里,与往年比,比上年增加61.40亿吨公里,
货邮周转量170.29亿吨公里,与往年比,，比上年增加6.40亿吨公里,
14.23亿吨公里,与往年比,比上年增加0.56亿吨公里,
增长8.3%,旅客运输量2655万人次,与往年比,
运输总周转量671.72亿吨公里,其中,货邮周转量170.29亿吨公里,
904万人次,与往年比,比上年增加70万人次,
国际航线,完成,旅客运输量2655万人次,
运输周转量461.05亿吨公里,与往年比,比上年增加45.21亿吨公里,
国内航线,其中,港澳台航线,
国内航线,完成,货邮运输量406.7万吨,
2013年,国际航线,统计年份,
旅客运输量32742万人次,与往年比,比上年增加3142万人次,
2013年,全行业,统计年份,
运输周转量461.05亿吨公里,与往年比,增长10.9%,
运输总周转量671.72亿吨公里,与往年比,增长10.1%,
货邮周转量170.29亿吨公里,与往年比,增长3.9%,
全行业,完成,运输总周转量671.72亿吨公里,
港澳台航线,实现,904万人次,
国内航线,完成,运输周转量461.05亿吨公里,
旅客周转量501.43亿吨公里,与往年比,比上年增加55.00亿吨公里,
国际航线,完成,运输周转量210.68亿吨公里,
旅客运输量2655万人次,与往年比,增长13.7%,
旅客运输量32742万人次,与往年比,增长10.6%,
运输周转量210.68亿吨公里,与往年比,增长8.3%,
运输周转量210.68亿吨公里,与往年比,比上年增长16.19亿吨公里,
14.23亿吨公里,与往年比,增长4.1%,
旅客运输量2655万人次,与往年比,比上年增加319万人次,
国内航线,完成,旅客运输量32742万人次,
港澳台航线,实现,14.23亿吨公里,
货邮运输量406.7万吨,与往年比,比上年增长4.7%,
2013年,国内航线,统计年份,
国内航线,其中,港澳台航线,
运输总周转量671.72亿吨公里,其中,旅客周转量501.43亿吨公里,
904万人次,与往年比,增长8.4%,
旅客周转量501.43亿吨公里,与往年比,增长12.3%,
运输总周转量671.72亿吨公里,与往年比,比上年增加61.40亿吨公里,
货邮周转量170.29亿吨公里,与往年比,，比上年增加6.40亿吨公里,
14.23亿吨公里,与往年比,比上年增加0.56亿吨公里,
增长8.3%,旅客运输量2655万人次,与往年比,
运输总周转量671.72亿吨公里,其中,货邮周转量170.29亿吨公里,
904万人次,与往年比,比上年增加70万人次,
国际航线,完成,旅客运输量2655万人次,
运输周转量461.05亿吨公里,与往年比,比上年增加45.21亿吨公里,
国内航线,其中,港澳台航线,
国内航线,完成,货邮运输量406.7万吨,
2013年,国际航线,统计年份,
旅客运输量32742万人次,与往年比,比上年增加3142万人次,
2013年,全行业,统计年份,
运输周转量461.05亿吨公里,与往年比,增长10.9%,
运输总周转量671.72亿吨公里,与往年比,增长10.1%,
货邮周转量170.29亿吨公里,与往年比,增长3.9%,
全行业,完成,运输总周转量671.72亿吨公里,
港澳台航线,实现,904万人次,
国内航线,完成,运输周转量461.05亿吨公里,
旅客周转量501.43亿吨公里,与往年比,比上年增加55.00亿吨公里,
国际航线,完成,运输周转量210.68亿吨公里,
旅客运输量2655万人次,与往年比,增长13.7%,
旅客运输量32742万人次,与往年比,增长10.6%,
运输周转量210.68亿吨公里,与往年比,增长8.3%,
运输周转量210.68亿吨公里,与往年比,比上年增长16.19亿吨公里,
14.23亿吨公里,与往年比,增长4.1%,
旅客运输量2655万人次,与往年比,比上年增加319万人次,
国内航线,完成,旅客运输量32742万人次,
港澳台航线,实现,14.23亿吨公里,
货邮运输量406.7万吨,与往年比,比上年增长4.7%,
2013年,国内航线,统计年份,
国内航线,其中,港澳台航线,
运输总周转量671.72亿吨公里,其中,旅客周转量501.43亿吨公里,
904万人次,与往年比,增长8.4%,
旅客周转量501.43亿吨公里,与往年比,增长12.3%,
运输总周转量671.72亿吨公里,与往年比,比上年增加61.40亿吨公里,
货邮周转量170.29亿吨公里,与往年比,，比上年增加6.40亿吨公里,
14.23亿吨公里,与往年比,比上年增加0.56亿吨公里,
增长8.3%,旅客运输量2655万人次,与往年比,
运输总周转量671.72亿吨公里,其中,货邮周转量170.29亿吨公里,
904万人次,与往年比,比上年增加70万人次,
国际航线,完成,旅客运输量2655万人次,
运输周转量461.05亿吨公里,与往年比,比上年增加45.21亿吨公里,
国内航线,其中,港澳台航线,
国内航线,完成,货邮运输量406.7万吨,
2013年,国际航线,统计年份,
旅客运输量32742万人次,与往年比,比上年增加3142万人次,
2013年,全行业,统计年份,
运输周转量461.05亿吨公里,与往年比,增长10.9%,
运输总周转量671.72亿吨公里,与往年比,增长10.1%,
货邮周转量170.29亿吨公里,与往年比,增长3.9%,
全行业,完成,运输总周转量671.72亿吨公里,
港澳台航线,实现,904万人次,
国内航线,完成,运输周转量461.05亿吨公里,
旅客周转量501.43亿吨公里,与往年比,比上年增加55.00亿吨公里,
国际航线,完成,运输周转量210.68亿吨公里,
旅客运输量2655万人次,与往年比,增长13.7%,
旅客运输量32742万人次,与往年比,增长10.6%,
运输周转量210.68亿吨公里,与往年比,增长8.3%,
运输周转量210.68亿吨公里,与往年比,比上年增长16.19亿吨公里,
14.23亿吨公里,与往年比,增长4.1%,
旅客运输量2655万人次,与往年比,比上年增加319万人次,
国内航线,完成,旅客运输量32742万人次,
港澳台航线,实现,14.23亿吨公里,
货邮运输量406.7万吨,与往年比,比上年增长4.7%,
2013年,国内航线,统计年份,
国内航线,其中,港澳台航线,
运输总周转量671.72亿吨公里,其中,旅客周转量501.43亿吨公里,
904万人次,与往年比,增长8.4%,
旅客周转量501.43亿吨公里,与往年比,增长12.3%,
运输总周转量671.72亿吨公里,与往年比,比上年增加61.40亿吨公里,
货邮周转量170.29亿吨公里,与往年比,，比上年增加6.40亿吨公里,
14.23亿吨公里,与往年比,比上年增加0.56亿吨公里,
增长8.3%,旅客运输量2655万人次,与往年比,
运输总周转量671.72亿吨公里,其中,货邮周转量170.29亿吨公里,
904万人次,与往年比,比上年增加70万人次,
国际航线,完成,旅客运输量2655万人次,
运输周转量461.05亿吨公里,与往年比,比上年增加45.21亿吨公里,
国内航线,其中,港澳台航线,
国内航线,完成,货邮运输量406.7万吨,
2013年,国际航线,统计年份,
旅客运输量32742万人次,与往年比,比上年增加3142万人次,
2013年,全行业,统计年份,
运输周转量461.05亿吨公里,与往年比,增长10.9%,
运输总周转量671.72亿吨公里,与往年比,增长10.1%,
货邮周转量170.29亿吨公里,与往年比,增长3.9%,
全行业,完成,运输总周转量671.72亿吨公里,
港澳台航线,实现,904万人次,
国内航线,完成,运输周转量461.05亿吨公里,
旅客周转量501.43亿吨公里,与往年比,比上年增加55.00亿吨公里,
国际航线,完成,运输周转量210.68亿吨公里,
旅客运输量2655万人次,与往年比,增长13.7%,
旅客运输量32742万人次,与往年比,增长10.6%,
运输周转量210.68亿吨公里,与往年比,增长8.3%,
运输周转量210.68亿吨公里,与往年比,比上年增长16.19亿吨公里,
14.23亿吨公里,与往年比,增长4.1%,
2013年,全行业,统计年份,
14.23亿吨公里,与往年比,比上年增加0.56亿吨公里,
旅客运输量32742万人次,与往年比,增长10.6%,
2013年,国际航线,统计年份,
全行业,完成,运输总周转量671.72亿吨公里,
904万人次,与往年比,增长8.4%,
14.23亿吨公里,与往年比,增长4.1%,
货邮运输量406.7万吨,与往年比,比上年增长4.7%,
904万人次,比上年增加70万人次,量值,
国内航线,完成,运输周转量461.05亿吨公里,
旅客运输量2655万人次,与往年比,比上年增加319万人次,
2013年,国内航线,统计年份,
904万人次,与往年比,比上年增加70万人次,
运输总周转量671.72亿吨公里,其中,旅客周转量501.43亿吨公里,
国内航线,其中,港澳台航线,
比上年增加45.21亿吨公里,量值,14.23亿吨公里,
国内航线,完成,旅客运输量32742万人次,
运输周转量461.05亿吨公里,与往年比,比上年增加45.21亿吨公里,
国际航线,完成,旅客运输量2655万人次,
国内航线,其中,港澳台航线,
运输总周转量671.72亿吨公里,与往年比,比上年增加61.40亿吨公里,
港澳台航线,实现,14.23亿吨公里,
运输总周转量671.72亿吨公里,其中,货邮周转量170.29亿吨公里,
运输总周转量671.72亿吨公里,与往年比,增长10.1%,
港澳台航线,实现,904万人次,
旅客运输量2655万人次,与往年比,增长13.7%,
货邮周转量170.29亿吨公里,与往年比,增长3.9%,
运输周转量210.68亿吨公里,与往年比,增长8.3%,
运输周转量461.05亿吨公里,与往年比,增长10.9%,
旅客运输量32742万人次,与往年比,比上年增加3142万人次,
国内航线,完成,货邮运输量406.7万吨,
国际航线,完成,运输周转量210.68亿吨公里,
旅客周转量501.43亿吨公里,与往年比,增长12.3%,
旅客周转量501.43亿吨公里,与往年比,比上年增加55.00亿吨公里,
运输周转量210.68亿吨公里,与往年比,比上年增长16.19亿吨公里,
货邮周转量170.29亿吨公里,与往年比,，比上年增加6.40亿吨公里,
2013年,全行业,统计年份,
14.23亿吨公里,与往年比,比上年增加0.56亿吨公里,
旅客运输量32742万人次,与往年比,增长10.6%,
2013年,国际航线,统计年份,
全行业,完成,运输总周转量671.72亿吨公里,
904万人次,与往年比,增长8.4%,
14.23亿吨公里,与往年比,增长4.1%,
货邮运输量406.7万吨,与往年比,比上年增长4.7%,
904万人次,比上年增加70万人次,量值,
国内航线,完成,运输周转量461.05亿吨公里,
旅客运输量2655万人次,与往年比,比上年增加319万人次,
2013年,国内航线,统计年份,
904万人次,与往年比,比上年增加70万人次,
运输总周转量671.72亿吨公里,其中,旅客周转量501.43亿吨公里,
国内航线,其中,港澳台航线,
比上年增加45.21亿吨公里,量值,14.23亿吨公里,
国内航线,完成,旅客运输量32742万人次,
运输周转量461.05亿吨公里,与往年比,比上年增加45.21亿吨公里,
国际航线,完成,旅客运输量2655万人次,
国内航线,其中,港澳台航线,
运输总周转量671.72亿吨公里,与往年比,比上年增加61.40亿吨公里,
港澳台航线,实现,14.23亿吨公里,
运输总周转量671.72亿吨公里,其中,货邮周转量170.29亿吨公里,
运输总周转量671.72亿吨公里,与往年比,增长10.1%,
港澳台航线,实现,904万人次,
旅客运输量2655万人次,与往年比,增长13.7%,
货邮周转量170.29亿吨公里,与往年比,增长3.9%,
运输周转量210.68亿吨公里,与往年比,增长8.3%,
运输周转量461.05亿吨公里,与往年比,增长10.9%,
旅客运输量32742万人次,与往年比,比上年增加3142万人次,
国内航线,完成,货邮运输量406.7万吨,
国际航线,完成,运输周转量210.68亿吨公里,
旅客周转量501.43亿吨公里,与往年比,增长12.3%,
旅客周转量501.43亿吨公里,与往年比,比上年增加55.00亿吨公里,
运输周转量210.68亿吨公里,与往年比,比上年增长16.19亿吨公里,
货邮周转量170.29亿吨公里,与往年比,，比上年增加6.40亿吨公里,
货邮运输量406.7万吨,与往年比,比上年增长4.7%,
运输周转量210.68亿吨公里,与往年比,增长8.3%,
旅客运输量32742万人次,与往年比,比上年增加3142万人次,
